mechanism_layer_score,mechanism_layer,cox_available,status,coefficient_per_sd,hazard_ratio_per_sd,ci95_lower,ci95_upper,standard_error,p_value,optimizer_success,analysis_note,fdr_bh
caf_matrix,caf_matrix,True,computed_exploratory,0.15197827634848898,1.1641349468955247,0.8282179656462669,1.6362965195109738,0.17370264900700366,0.38161005970654727,True,Exploratory CPTAC protein Cox; not used for model training.,0.4770125746331841
dendritic_b_plasma_context,dendritic_b_plasma_context,True,computed_exploratory,-0.22586235501007546,0.7978279111229282,0.5420531291377616,1.1742933331632928,0.1972086240291146,0.2520863382461087,True,Exploratory CPTAC protein Cox; not used for model training.,0.42014389707684785
emt_like_malignant_program,emt_like_malignant_program,True,computed_exploratory,0.12034204104901046,1.1278825677468667,0.7757700451528314,1.6398146520038035,0.19093937618843607,0.5285224683193397,True,Exploratory CPTAC protein Cox; not used for model training.,0.5285224683193397
hypoxia,hypoxia,True,computed_exploratory,0.6220801818605008,1.8627989749655516,1.2335100650265596,2.813126637161242,0.21031447202899875,0.00309785566780244,True,Exploratory CPTAC protein Cox; not used for model training.,0.0154892783390122
proliferation,proliferation,True,computed_exploratory,0.3140552499754586,1.3689653697610726,0.9179052456492941,2.0416771692806064,0.203936919342567,0.12356944451187406,True,Exploratory CPTAC protein Cox; not used for model training.,0.30892361127968515
