gene_symbol,ensembl_id,mechanism_layer,hpa_query_status,hpa_url,hpa_pathology_url,protein_name,uniprot,protein_class,hpa_evidence,protein_evidence,reliability_ih,antibody_count,antibodies,rna_cancer_specificity,rna_cancer_distribution,protein_tissue_specificity,protein_tissue_distribution,tissue_expression_cluster,lung_tissue_cell_type_enrichment,lung_cancer_ihc_availability,staining_level,staining_intensity,staining_quantity,tumor_vs_normal_qualitative_pattern,lung_adenocarcinoma_prognostic,lung_adenocarcinoma_prognostic_type,lung_adenocarcinoma_p_value,lung_adenocarcinoma_validation_prognostic,lung_adenocarcinoma_validation_type,lung_adenocarcinoma_validation_p_value,hpa_support_status,support_reason
JCHAIN,ENSG00000132465,dendritic_b_plasma_context,cached,https://www.proteinatlas.org/ENSG00000132465-JCHAIN,https://www.proteinatlas.org/ENSG00000132465-JCHAIN/pathology/lung+cancer,Joining chain of multimeric IgA and IgM,P01591,Plasma proteins;Predicted secreted proteins,Evidence at protein level,Evidence at protein level,Enhanced,2,CAB034436;HPA044132,Low cancer specificity,Detected in all,Tissue enhanced,Detected in all,Cluster 77: Intestine - Digestion,Lung - Plasma cells,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,1.84e-3,potential prognostic,favorable,2.45e-4,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
CD74,ENSG00000019582,dendritic_b_plasma_context,cached,https://www.proteinatlas.org/ENSG00000019582-CD74,https://www.proteinatlas.org/ENSG00000019582-CD74/pathology/lung+cancer,CD74 molecule,P04233,Cancer-related genes;CD markers;Disease related genes;Potential drug targets;Predicted membrane proteins;Predicted secreted proteins;Transporters,Evidence at protein level,Evidence at protein level,Enhanced,3,CAB002506;HPA010592;CAB079994,Low cancer specificity,Detected in all,Tissue enhanced,Detected in all,Cluster 18: Lymphoid tissue - Immune response,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,1.12e-3,unprognostic,,9.15e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
HLA-DRA,ENSG00000204287,dendritic_b_plasma_context,cached,https://www.proteinatlas.org/ENSG00000204287-HLA-DRA,https://www.proteinatlas.org/ENSG00000204287-HLA-DRA/pathology/lung+cancer,"Major histocompatibility complex, class II, DR alpha",P01903,Plasma proteins;Predicted membrane proteins,Evidence at protein level,Evidence at protein level,Enhanced,4,CAB002798;CAB015402;HPA050162;HPA053176,Low cancer specificity,Detected in all,Group enriched,Detected in all,Cluster 66: Lymphoid tissue - Immune response,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,4.69e-3,unprognostic,,3.36e-1,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
HLA-DRB1,ENSG00000196126,dendritic_b_plasma_context,cached,https://www.proteinatlas.org/ENSG00000196126-HLA-DRB1,https://www.proteinatlas.org/ENSG00000196126-HLA-DRB1/pathology/lung+cancer,"Major histocompatibility complex, class II, DR beta 1",P01911,Disease related genes;Human disease related genes;Plasma proteins;Predicted membrane proteins,Evidence at protein level,Evidence at protein level,Enhanced,3,CAB015400;CAB034021;HPA043151,Low cancer specificity,Detected in all,Group enriched,Detected in many,Cluster 66: Lymphoid tissue - Immune response,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,1.09e-2,unprognostic,,1.43e-1,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
CD79B,ENSG00000007312,dendritic_b_plasma_context,cached,https://www.proteinatlas.org/ENSG00000007312-CD79B,https://www.proteinatlas.org/ENSG00000007312-CD79B/pathology/lung+cancer,CD79b molecule,P40259,Cancer-related genes;CD markers;Disease related genes;FDA approved drug targets;Human disease related genes;Predicted membrane proteins,Evidence at protein level,Evidence at protein level,Enhanced,3,HPA009178;CAB009751;HPA044107,Low cancer specificity,Detected in all,Tissue enriched,Detected in some,Cluster 18: Lymphoid tissue - Immune response,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,potential prognostic,favorable,2.91e-4,unprognostic,,1.02e-1,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
XBP1,ENSG00000100219,dendritic_b_plasma_context,cached,https://www.proteinatlas.org/ENSG00000100219-XBP1,https://www.proteinatlas.org/ENSG00000100219-XBP1/pathology/lung+cancer,X-box binding protein 1,P17861,Cancer-related genes;Disease related genes;Human disease related genes;Predicted intracellular proteins;Predicted membrane proteins;Transcription factors,Evidence at transcript level,Evidence at protein level,,0,,Cancer enhanced,Detected in all,Not detected,Not detected,Cluster 8: Pancreas - Proteolysis,Lung - Alveolar cells type 2,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,7.64e-3,unprognostic,,4.65e-2,hpa_record_available_uncertain_ih,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
VIM,ENSG00000026025,emt_like_malignant_program,cached,https://www.proteinatlas.org/ENSG00000026025-VIM,https://www.proteinatlas.org/ENSG00000026025-VIM/pathology/lung+cancer,Vimentin,P08670,Disease related genes;Human disease related genes;Plasma proteins;Predicted intracellular proteins,Evidence at protein level,Evidence at protein level,Enhanced,3,CAB000080;HPA001762;CAB058687,Low cancer specificity,Detected in all,Low tissue specificity,Detected in all,Cluster 12: Smooth muscle tissue - ECM organization,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,1.44e-1,unprognostic,,3.07e-3,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
FN1,ENSG00000115414,emt_like_malignant_program,cached,https://www.proteinatlas.org/ENSG00000115414-FN1,https://www.proteinatlas.org/ENSG00000115414-FN1/pathology/lung+cancer,Fibronectin 1,P02751,Cancer-related genes;Candidate cardiovascular disease genes;Disease related genes;FDA approved drug targets;Human disease related genes;Plasma proteins;Predicted intracellular proteins;Predicted secreted proteins,Evidence at protein level,Evidence at protein level,Enhanced,2,CAB000126;HPA027066,Cancer enhanced,Detected in all,Tissue enriched,Detected in all,Cluster 14: Adipose tissue - Angiogenesis,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,5.30e-2,unprognostic,,1.32e-3,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
SNAI1,ENSG00000124216,emt_like_malignant_program,cached,https://www.proteinatlas.org/ENSG00000124216-SNAI1,https://www.proteinatlas.org/ENSG00000124216-SNAI1/pathology/lung+cancer,Snail family transcriptional repressor 1,O95863,Predicted intracellular proteins;Transcription factors,Evidence at protein level,Evidence at protein level,Supported,5,CAB005883;HPA056831;HPA069985;CAB078687;CAB080398,Low cancer specificity,Detected in all,Not detected,Not detected,Cluster 14: Adipose tissue - Angiogenesis,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,potential prognostic,unfavorable,9.71e-4,unprognostic,,6.30e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
SNAI2,ENSG00000019549,emt_like_malignant_program,cached,https://www.proteinatlas.org/ENSG00000019549-SNAI2,https://www.proteinatlas.org/ENSG00000019549-SNAI2/pathology/lung+cancer,Snail family transcriptional repressor 2,O43623,Disease related genes;Human disease related genes;Predicted intracellular proteins;Transcription factors,Evidence at protein level,Evidence at protein level,Supported,3,HPA000971;CAB011671;HPA065884,Low cancer specificity,Detected in all,Not detected,Not detected,Cluster 75: Ovary - Mixed function,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,1.47e-3,unprognostic,,1.01e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
